minimalny koszt; czas dzia³ania algorytmu[s]; prawdopodobiensto; temp; neighbourcost
23547;11.9;0;0.0409352;23595
23547;12;0;0.0405915;23595
23547;12.1;0;0.0402586;23595
23547;12.2;0;0.0399588;23595
23547;12.3;0;0.0396037;23780
23547;12.4;0;0.039239;23780
23547;12.5;0;0.0388382;23780
23547;12.6;0;0.0384601;23780
23547;12.7;0;0.0380716;23780
23547;12.8;0;0.037709;23780
23547;12.9;0;0.0373384;23780
23547;13;0;0.0370267;23780
23547;13.1;0;0.0366734;23780
23547;13.2;0;0.0363711;23780
23547;13.3;0;0.0360588;23862
23547;13.4;0;0.0357633;23862
23547;13.5;0;0.0354356;23862
23547;13.6;0;0.035139;23862
23547;13.7;0;0.034822;23862
23547;13.8;0;0.0345128;23862
23547;13.9;0;0.0342165;23862
23547;14;0;0.0339221;23862
23547;14.1;0;0.0336257;23862
23547;14.2;0;0.0333332;23862
23547;14.3;0;0.03305;23879
23547;14.4;0;0.0327723;23879
23547;14.5;0;0.0325299;23879
23547;14.6;0;0.0322666;23879
23547;14.7;0;0.032033;23879
23547;14.8;0;0.031778;23879
23547;14.9;0;0.0315284;23879
23547;15;0;0.0312722;23879
23547;15.1;0;0.0310324;23879
23547;15.2;0;0.0307852;23879
23143;15.3002;0;0.0305658;23339
23143;15.4;0;0.0303502;23339
23143;15.5;0;0.030136;23339
23143;15.6;0;0.0299108;23339
23143;15.7;0;0.0297007;23339
23143;15.8;0;0.0294977;23339
23143;15.9;0;0.029317;23339
23143;16.0001;0;0.0291152;23339
23143;16.1;0;0.0289166;23339
23143;16.2;0;0.0287094;23339
23143;16.3038;0;0.0285615;23395
23143;16.4;0;0.0284021;23395
23143;16.5002;0;0.028314;23395
23143;16.6082;0;0.028277;23395
23143;16.7001;0;0.0282293;23395
23143;16.8;0;0.0281845;23395
23143;16.9;0;0.0281373;23395
23143;17.0063;0;0.0280916;23395
23143;17.1163;0;0.0280408;23395
23143;17.2;0;0.0280067;23395
23143;17.3005;0;0.0279498;23211
23143;17.4;0;0.0278475;23211
23143;17.5;0;0.0277084;23211
23143;17.6;0;0.0275793;23211
23143;17.7005;0;0.0275055;23211
23143;17.8001;0;0.0273973;23211
23143;17.9;0;0.027295;23211
23143;18;0;0.02719;23211
23143;18.1;0;0.0271087;23211
23143;18.2;0;0.0269964;23211
23143;18.3;0;0.0268846;23259
23143;18.4;0;0.0267555;23259
23143;18.5;0;0.0266237;23259
23143;18.6;0;0.0265237;23259
23143;18.7;0;0.0264587;23259
23143;18.8004;0;0.0263891;23259
23143;18.9;0;0.0263111;23259
23143;19;0;0.0262158;23259
23143;19.1;0;0.0261303;23259
23143;19.2;0;0.0260094;23259
23143;19.3;0;0.025876;23150
23143;19.4;0;0.0257669;23150
23143;19.5002;0;0.0256786;23150
23143;19.6;0;0.0255885;23150
23143;19.7;0;0.0254953;23150
23143;19.8;0;0.0253907;23150
23143;19.9005;0;0.0252974;23150
